datacompleteness,side,teamname,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,firstblood,team kpm,ckpm,elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,damagetochampions,dpm,damagetakenperminute,totalgold,earnedgold,earned gpm,goldspent,gspd
complete,Red,Gen.G,1959,0,8,10,16,8,10,1.0,0.245,0.5513,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,10.0,67683.0,2072.9862,2993.8744,56133,34773.0,1065.023,52158.0,-0.0507694
complete,Blue,Gen.G,1772,1,18,4,43,18,4,1.0,0.6095,0.7449,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,11.0,4.0,60157.0,2036.9187,2225.7562,62080,42628.0,1443.386,55008.0,0.117708
complete,Red,Gen.G,1590,1,16,4,38,16,4,0.0,0.6038,0.7547,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,1.0,69769.0,2632.7925,2724.8679,53747,36151.0,1364.1887,46825.0,0.172602
complete,Red,Gen.G,1649,1,18,4,42,18,4,1.0,0.6549,0.8005,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,7.0,2.0,64020.0,2329.4118,2624.4269,53914,35716.0,1299.5512,46710.0,0.106782
complete,Blue,Gen.G,2046,1,12,4,25,12,4,1.0,0.3519,0.4692,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,10.0,4.0,74787.0,2193.1672,2924.8094,67305,45058.0,1321.349,59740.0,0.0812974
complete,Red,Gen.G,1667,1,13,5,37,13,5,0.0,0.4679,0.6479,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,2.0,59185.0,2130.234,2377.7205,53167,34786.0,1252.0456,44858.0,0.0537967
complete,Blue,Gen.G,1790,1,13,3,31,13,3,1.0,0.4358,0.5363,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,11.0,0.0,75852.0,2542.5251,2303.7318,60313,40677.0,1363.4749,55388.0,0.254684
complete,Blue,Gen.G,1923,1,10,2,27,10,2,1.0,0.312,0.3744,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,9.0,2.0,54669.0,1705.741,2505.0234,60463,39470.0,1231.5133,51885.0,0.0600935
complete,Blue,Gen.G,1821,1,9,3,18,9,3,1.0,0.2965,0.3954,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,10.0,1.0,66142.0,2179.3081,2182.1746,60423,40471.0,1333.4761,53033.0,0.148368
complete,Red,Gen.G,1820,0,8,13,18,8,13,0.0,0.2637,0.6923,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,7.0,47520.0,1566.5934,2684.3077,49593,29651.0,977.5055,47683.0,-0.103415
complete,Blue,Gen.G,1903,0,3,9,6,3,9,1.0,0.0946,0.3783,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,8.0,48803.0,1538.7178,3153.5786,51553,30764.0,969.9632,47660.0,-0.0350038
complete,Red,Gen.G,2643,1,10,13,27,10,13,1.0,0.227,0.5221,1.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,10.0,8.0,116465.0,2643.9274,3483.8138,84557,56220.0,1276.277,78918.0,0.0755196
complete,Red,Gen.G,1790,1,12,6,21,12,6,0.0,0.4022,0.6034,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,10.0,1.0,62740.0,2103.0168,2698.5587,61433,41797.0,1401.0168,55938.0,0.249374
complete,Blue,Gen.G,1175,1,16,1,26,16,1,1.0,0.817,0.8681,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,44244.0,2259.2681,2506.1106,44672,31309.0,1598.7574,36708.0,0.322079
complete,Red,Gen.G,1712,1,18,14,39,18,14,0.0,0.6308,1.1215,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,9.0,3.0,92998.0,3259.2757,3046.9276,59717,40877.0,1432.6051,52688.0,0.0536927
complete,Blue,Gen.G,1576,1,14,6,26,14,6,1.0,0.533,0.7614,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,11.0,0.0,58656.0,2233.0964,2575.8122,55969,38516.0,1466.3452,50783.0,0.294421
complete,Red,Gen.G,1382,1,22,4,53,22,4,1.0,0.9551,1.1288,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,10.0,0.0,63171.0,2742.5904,3210.7381,53005,37531.0,1629.4211,45975.0,0.341631
complete,Red,Gen.G,2346,1,14,18,35,14,18,0.0,0.3581,0.8184,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,6.0,130320.0,3332.9923,3314.3478,71595,46288.0,1183.8363,67758.0,0.0819308
complete,Red,Gen.G,1835,1,26,14,35,26,14,1.0,0.8501,1.3079,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,11.0,3.0,93926.0,3071.1499,3465.1226,67242,47147.0,1541.5913,58268.0,0.0662228
